account_id,cohort,tenure_months,usage_change_90d,communication_gap_days,billing_change,delivered_performance_index,support_contacts_90d,monthly_revenue,churned_120d,lead_time_days,model_probability
SYN-00001,development,82,0.2569,13,0,0.638,2,2768.58,0,0,0.067096
SYN-00002,development,63,0.2281,43,0,0.972,1,1225.08,0,0,0.079025
SYN-00003,development,9,0.0106,41,0,1.0491,0,1696.38,0,0,0.110693
SYN-00004,development,37,0.2139,38,0,0.9351,0,5166.51,0,0,0.076753
SYN-00005,development,18,-0.3509,45,1,1.0171,1,878.75,1,56,0.333681
SYN-00006,development,36,-0.4912,1,0,0.9107,0,1832.29,0,0,0.128039
SYN-00007,development,79,0.0158,19,0,0.6868,2,2001.56,0,0,0.098049
SYN-00008,development,80,0.0796,26,1,0.8936,0,2654.75,0,0,0.13576
SYN-00009,development,66,-0.0074,15,0,1.1801,0,5301.78,0,0,0.053573
SYN-00010,development,73,-0.0549,14,0,0.9309,1,1047.8,0,0,0.078402
SYN-00011,development,58,0.1515,33,0,0.783,2,1763.81,0,0,0.098758
SYN-00012,development,68,-0.52,1,0,0.9243,0,1496.62,0,0,0.116087
SYN-00013,development,76,-0.0997,1,0,0.7984,0,487.5,0,0,0.073294
SYN-00014,development,68,0.2903,69,0,0.8118,0,1292.1,0,0,0.107721
SYN-00015,development,75,-0.3066,3,1,1.049,0,1418.38,0,0,0.150137
SYN-00016,development,33,-0.0545,9,0,1.036,2,2052.0,0,0,0.083358
SYN-00017,development,40,-0.4732,36,0,0.9993,0,711.84,0,0,0.177968
SYN-00018,development,56,-0.087,1,0,1.0094,2,3123.94,0,0,0.071822
SYN-00019,development,84,0.0777,56,0,0.9432,0,1661.74,0,0,0.09975
SYN-00020,development,18,-0.4114,1,0,1.0011,0,5733.25,0,0,0.109167
SYN-00021,development,84,0.3569,42,1,1.0684,1,8110.19,1,141,0.098178
SYN-00022,development,21,-0.1273,73,0,0.843,1,1072.68,0,0,0.233421
SYN-00023,development,53,-0.093,41,1,0.8122,1,411.83,1,102,0.254828
SYN-00024,development,74,-0.3431,21,0,0.9482,0,982.84,0,0,0.114839
SYN-00025,development,59,-0.13,20,0,1.0302,0,4348.29,0,0,0.081032
SYN-00026,development,7,-0.2909,33,0,0.7087,0,2914.42,1,78,0.192398
SYN-00027,development,39,0.1425,22,1,0.8623,2,2594.59,0,0,0.163876
SYN-00028,development,42,-0.0991,32,0,1.134,0,419.31,0,0,0.093796
SYN-00029,development,14,-0.1141,40,0,1.0412,0,1167.02,0,0,0.127392
SYN-00030,development,28,-0.0962,22,0,0.8357,0,618.85,0,0,0.112875
SYN-00031,development,44,0.1635,1,0,0.9392,1,1444.24,0,0,0.054644
SYN-00032,development,37,-0.6197,52,1,0.9914,0,3099.97,1,56,0.408401
SYN-00033,development,30,-0.1102,1,0,1.0307,3,1115.9,0,0,0.08926
SYN-00034,development,34,0.2371,17,0,0.6029,2,963.48,0,0,0.093866
SYN-00035,development,56,-0.3168,12,0,0.8797,1,1561.66,0,0,0.119945
SYN-00036,development,78,0.4329,31,1,1.0981,6,4193.47,0,0,0.114179
SYN-00037,development,2,-0.276,1,0,1.0738,3,1589.82,0,0,0.118689
SYN-00038,development,60,0.0118,17,0,1.0015,0,2182.77,0,0,0.067762
SYN-00039,development,73,0.4402,36,0,0.8857,3,1488.21,0,0,0.064434
SYN-00040,development,17,-0.2887,30,1,0.9915,2,4624.75,0,0,0.279582
SYN-00041,development,9,-0.1004,60,0,0.9589,0,598.15,0,0,0.175899
SYN-00042,development,29,-0.0228,59,0,0.9699,0,904.49,1,84,0.144638
SYN-00043,development,65,-0.3251,19,0,0.947,1,3030.27,0,0,0.118252
SYN-00044,development,73,0.1777,1,0,0.7907,0,2568.52,0,0,0.049772
SYN-00045,development,84,-0.1206,61,0,1.1239,0,882.57,0,0,0.118462
SYN-00046,development,19,-0.1902,58,1,1.1376,3,1764.24,1,71,0.327085
SYN-00047,development,75,0.3776,47,0,0.7772,4,180.0,0,0,0.096822
SYN-00048,development,19,-0.3515,46,0,0.5625,1,1860.87,0,0,0.273271
SYN-00049,development,8,0.0283,28,0,1.016,3,642.87,0,0,0.117686
SYN-00050,development,56,0.3714,70,0,1.096,0,618.31,1,97,0.080649
SYN-00051,development,49,-0.1112,36,0,1.0253,0,1159.01,0,0,0.106358
SYN-00052,development,24,-0.17,16,0,0.8511,0,933.09,0,0,0.114803
SYN-00053,development,40,0.2728,36,0,0.83,1,1073.22,0,0,0.085101
SYN-00054,development,79,0.2395,1,0,1.0546,0,332.52,0,0,0.035803
SYN-00055,development,69,-0.093,26,0,0.9529,0,1868.3,0,0,0.088797
SYN-00056,development,26,0.0311,5,1,0.886,0,1203.63,0,0,0.140731
SYN-00057,development,40,0.1582,10,0,0.7847,7,1364.63,0,0,0.110676
SYN-00058,development,73,-0.3343,41,0,0.6555,2,6529.76,0,0,0.197292
SYN-00059,development,5,-0.0177,5,0,0.8223,1,867.88,0,0,0.097089
SYN-00060,development,30,0.2119,28,0,1.0457,1,1231.55,0,0,0.071015
SYN-00061,development,55,-0.1573,12,0,1.013,1,608.09,0,0,0.08808
SYN-00062,development,79,-0.741,48,0,0.8417,0,5639.5,0,0,0.256786
SYN-00063,development,48,0.02,13,0,0.9354,1,409.67,0,0,0.078057
SYN-00064,development,54,-0.2756,41,1,0.7674,1,1758.08,0,0,0.312552
SYN-00065,development,9,0.2376,25,0,0.9442,5,1066.73,0,0,0.104463
SYN-00066,development,52,-0.0021,2,0,1.0809,0,1164.18,0,0,0.054982
SYN-00067,development,55,0.0643,7,0,1.0478,4,1942.32,0,0,0.072057
SYN-00068,development,78,-0.022,37,0,1.0953,0,4258.48,0,0,0.07659
SYN-00069,development,15,0.1248,40,0,0.6526,0,1576.71,0,0,0.130292
