week,cohort,search_spend,social_spend,email_spend,partner_spend,seasonality,organic_demand,lagged_effect,noise,revenue
2023-08-28,development,16874.78,15446.93,4447.94,7697.06,2010.48,144010.48,145235.37,2197.98,291443.83
2023-09-04,development,17158.3,14091.63,5597.8,7300.98,3419.78,145604.78,187480.57,4771.52,337856.87
2023-09-11,development,17227.49,9148.14,4818.53,9206.53,4525.61,146895.61,202169.34,2147.2,351212.15
2023-09-18,development,17805.2,14833.89,4962.56,9222.02,5334.15,147889.15,216430.93,777.78,365097.86
2023-09-25,development,18089.05,10951.49,4814.07,7101.54,5869.4,148609.4,218093.19,3001.05,369703.64
2023-10-02,development,17495.61,13731.34,5637.31,7788.33,6170.67,149095.67,223703.83,-0.64,372798.86
2023-10-09,development,17687.38,16395.18,5646.25,6786.15,6289.34,149399.34,227558.16,3074.6,380032.1
2023-10-16,development,15809.88,12154.84,5541.08,7104.68,6284.81,149579.81,224357.67,1055.96,374993.43
2023-10-23,development,17618.11,12646.53,4469.97,8266.52,6220.12,149700.12,224073.67,4404.33,378178.12
2023-10-30,development,20007.27,13527.58,4981.44,5861.48,6157.35,149822.35,226223.4,13997.94,390043.69
2023-11-06,development,20505.77,13324.84,5331.65,5947.57,6153.18,150003.18,227924.89,11834.85,389762.91
2023-11-13,development,17538.26,11965.42,5224.36,6687.65,6254.79,150289.79,224726.42,2292.42,377308.63
2023-11-20,development,18956.47,11191.93,4975.38,6205.76,6496.47,150716.47,222707.9,5317.52,378741.89
2023-11-27,development,18628.17,14563.04,4906.04,6723.48,6897.04,151302.04,224445.97,9030.4,384778.41
2023-12-04,development,16710.97,10969.4,4138.59,5748.54,7458.24,152048.24,217236.43,2120.08,371404.75
2023-12-11,development,18923.74,11732.57,4803.09,5901.34,8164.3,152939.3,218794.15,618.93,372352.38
2023-12-18,development,18939.63,11657.28,4248.05,7413.44,8982.58,153942.58,219660.1,-6336.83,367265.85
2023-12-25,development,16817.0,11777.79,4827.37,5964.84,9865.4,155010.4,217887.93,14129.98,387028.31
2024-01-01,development,17833.52,12420.64,4315.07,6299.59,10752.74,156082.74,217430.76,7225.31,380738.8
2024-01-08,development,13013.55,11244.73,3829.14,6076.34,11575.9,157090.9,208943.48,-2132.83,363901.54
2024-01-15,development,16765.67,13377.34,3600.26,5833.92,12261.74,157961.74,210451.44,5058.51,373471.68
2024-01-22,development,16763.61,11757.27,3661.5,6495.75,12737.3,158622.3,211136.97,2485.17,372244.44
2024-01-29,development,15630.35,12171.57,4538.64,7587.83,12934.49,159004.49,214617.94,-8094.46,365527.97
2024-02-05,development,17900.6,10269.94,4574.04,6472.98,12794.69,159049.69,215848.56,11009.17,385907.42
2024-02-12,development,13033.95,10572.02,3725.13,6779.29,12272.79,158712.79,208243.61,-7674.81,359281.59
2024-02-19,development,17583.49,9443.66,4120.24,7024.26,11340.65,157965.65,211127.79,-4831.76,364261.68
2024-02-26,development,15906.94,10664.41,4668.1,8266.69,9989.52,156799.52,214435.32,-4194.74,367040.1
2024-03-04,development,11917.17,9309.37,4338.89,6540.81,8231.52,155226.52,206581.31,-3126.99,358680.84
2024-03-11,development,15332.95,11070.43,4952.09,8665.77,6099.87,153279.87,213210.25,2073.26,368563.38
2024-03-18,development,16519.38,13942.11,4499.22,8079.59,3647.98,151012.98,218685.38,11765.02,381463.38
2024-03-25,development,16256.13,10816.81,4807.63,6642.04,947.38,148497.38,217878.38,-13247.71,353128.05
