date,ad_id,ad_name,platform,cohort,spend_cents,impressions,clicks,conversions,attributed_revenue_cents,observed_roas,baseline_forecast_roas,model_forecast_roas
2026-01-04,SYN-META-01,Generated prospecting concept A,Meta Ads,development,49123,48545,534,7,56212,1.144311,,
2026-01-05,SYN-META-01,Generated prospecting concept A,Meta Ads,development,55967,55273,608,8,61329,1.095806,,
2026-01-06,SYN-META-01,Generated prospecting concept A,Meta Ads,development,53848,53182,585,9,64751,1.202477,,
2026-01-07,SYN-META-01,Generated prospecting concept A,Meta Ads,development,54288,53636,590,8,63552,1.170645,,
2026-01-08,SYN-META-01,Generated prospecting concept A,Meta Ads,development,45392,44818,493,6,48233,1.062588,,
2026-01-09,SYN-META-01,Generated prospecting concept A,Meta Ads,development,38310,37818,416,5,37902,0.98935,,
2026-01-10,SYN-META-01,Generated prospecting concept A,Meta Ads,development,39804,39364,433,6,43333,1.088659,,
2026-01-11,SYN-META-01,Generated prospecting concept A,Meta Ads,development,44581,44091,485,6,46803,1.049842,,
2026-01-12,SYN-META-01,Generated prospecting concept A,Meta Ads,development,55437,54818,603,7,55805,1.006638,,
2026-01-13,SYN-META-01,Generated prospecting concept A,Meta Ads,development,52737,52091,573,8,60342,1.144206,,
2026-01-14,SYN-META-01,Generated prospecting concept A,Meta Ads,development,46176,45636,502,6,46784,1.013167,,
2026-01-15,SYN-META-01,Generated prospecting concept A,Meta Ads,development,40214,39727,437,5,39604,0.984831,,
2026-01-16,SYN-META-01,Generated prospecting concept A,Meta Ads,development,38892,38455,423,5,35724,0.918544,,
2026-01-17,SYN-META-01,Generated prospecting concept A,Meta Ads,development,39013,38545,424,5,38962,0.998693,,
2026-01-18,SYN-META-01,Generated prospecting concept A,Meta Ads,development,44980,44455,489,6,45972,1.022054,,
2026-01-19,SYN-META-01,Generated prospecting concept A,Meta Ads,development,43858,43364,477,6,48421,1.10404,,
2026-01-20,SYN-META-01,Generated prospecting concept A,Meta Ads,development,47111,46545,512,7,49947,1.060198,,
2026-01-21,SYN-META-01,Generated prospecting concept A,Meta Ads,development,43062,42545,468,6,46075,1.069969,,
2026-01-22,SYN-META-01,Generated prospecting concept A,Meta Ads,development,39795,39364,433,6,42364,1.064556,,
2026-01-23,SYN-META-01,Generated prospecting concept A,Meta Ads,development,38110,37636,414,5,35955,0.943453,,
2026-01-24,SYN-META-01,Generated prospecting concept A,Meta Ads,development,38218,37727,415,5,37154,0.97216,,
